datetime,signal
2021-06-30_21:42:00,1
2021-06-30_21:43:00,1
2021-06-30_21:44:00,0
2021-06-30_21:45:00,0
2021-06-30_21:46:00,1
2021-06-30_21:47:00,1
2021-06-30_21:48:00,1
2021-06-30_21:49:00,0
2021-06-30_21:50:00,1
2021-06-30_21:51:00,1
2021-06-30_21:52:00,1
2021-06-30_21:53:00,1
2021-06-30_21:54:00,0
2021-06-30_21:55:00,0
2021-06-30_21:56:00,2
2021-06-30_21:57:00,0
2021-06-30_21:58:00,2
2021-06-30_21:59:00,1
2021-06-30_22:00:00,0
2021-06-30_22:01:00,1
2021-06-30_22:02:00,1
2021-06-30_22:03:00,0
2021-06-30_22:04:00,2
2021-06-30_22:05:00,0
2021-06-30_22:06:00,2
2021-06-30_22:07:00,1
2021-06-30_22:08:00,2
2021-06-30_22:09:00,1
2021-06-30_22:10:00,1
2021-06-30_22:11:00,1
2021-06-30_22:12:00,0
2021-06-30_22:13:00,1
2021-06-30_22:14:00,2
2021-06-30_22:15:00,1
2021-06-30_22:16:00,0
2021-06-30_22:17:00,0
2021-06-30_22:18:00,0
2021-06-30_22:19:00,1
2021-06-30_22:20:00,1
2021-06-30_22:21:00,1
2021-06-30_22:22:00,2
2021-06-30_22:23:00,1
2021-06-30_22:24:00,2
2021-06-30_22:25:00,1
2021-06-30_22:26:00,1
2021-06-30_22:27:00,1
2021-06-30_22:28:00,2
2021-06-30_22:29:00,1
2021-06-30_22:30:00,1
2021-06-30_22:31:00,1
2021-06-30_22:32:00,1
2021-06-30_22:33:00,2
2021-06-30_22:34:00,1
2021-06-30_22:35:00,2
2021-06-30_22:36:00,1
2021-06-30_22:37:00,1
2021-06-30_22:38:00,0
2021-06-30_22:39:00,1
2021-06-30_22:40:00,2
2021-06-30_22:41:00,1
2021-06-30_22:42:00,2
2021-06-30_22:43:00,0
2021-06-30_22:44:00,1
2021-06-30_22:45:00,1
2021-06-30_22:46:00,1
2021-06-30_22:47:00,0
2021-06-30_22:48:00,0
2021-06-30_22:49:00,1
2021-06-30_22:50:00,0
2021-06-30_22:51:00,0
2021-06-30_22:52:00,0
2021-06-30_22:53:00,1
2021-06-30_22:54:00,1
2021-06-30_22:55:00,2
2021-06-30_22:56:00,1
2021-06-30_22:57:00,1
2021-06-30_22:58:00,1
2021-06-30_22:59:00,0
2021-06-30_23:00:00,1
2021-07-01_21:01:00,1
2021-07-01_21:02:00,1
2021-07-01_21:03:00,0
2021-07-01_21:04:00,1
2021-07-01_21:05:00,0
2021-07-01_21:06:00,1
2021-07-01_21:07:00,2
2021-07-01_21:08:00,2
2021-07-01_21:09:00,0
2021-07-01_21:10:00,0
2021-07-01_21:11:00,1
2021-07-01_21:12:00,0
2021-07-01_21:13:00,0
2021-07-01_21:14:00,2
2021-07-01_21:15:00,2
2021-07-01_21:16:00,1
2021-07-01_21:17:00,2
2021-07-01_21:18:00,1
2021-07-01_21:19:00,1
2021-07-01_21:20:00,1
2021-07-01_21:21:00,1
2021-07-01_21:22:00,1
2021-07-01_21:23:00,0
