tradeDate,basis_ic_mean,basis_if_mean,basis_ic_pct_annual,basis_if_pct_annual,index_return_ic,index_return_if,index_return_ic_win,index_return_if_win,icf_index_return_diff_win,icf_basis_annual_diff,icf_corr_win
2018-11-08,-29.975438333333333,-13.603806666666665,-0.08208085080612165,-0.05081144681930133,-0.007458410707041668,-0.0028397374055093238,-0.02775715489103341,0.0078794007071222,-0.03563655559815561,-0.03126940398682032,0.9416837964241902
2018-11-09,-30.23164416666667,-13.598806666666666,-0.08304228871841582,-0.05151967002291627,-0.003134361950343657,-0.014209628394483092,0.004675647263716193,0.02874726611079783,-0.024071618847081637,-0.03152261869549955,0.9368153730276056
2018-11-12,-30.355890833333333,-13.586223333333333,-0.08127979499510463,-0.05086662186156134,0.025553918487176405,0.011830972923802153,0.016092513724554548,0.050147972972822016,-0.03405545924826747,-0.03041317313354329,0.9323077003113648
2018-11-13,-29.362435833333333,-13.137211666666667,-0.07720971183063761,-0.04869568231098317,0.018097780921811336,0.01000908158737834,0.006831329440159142,0.058144824396398814,-0.05131349495623967,-0.028514029519654448,0.9291787880541963
2018-11-14,-29.071684166666667,-13.026383333333333,-0.07674832844348847,-0.04877360209903285,-0.003957873851821018,-0.010070859254752394,-0.0068967329796909334,0.04963966241766776,-0.0565363953973587,-0.027974726344455622,0.9258498564921498
2018-11-15,-28.854244166666668,-12.942745,-0.0749491045537958,-0.04790103169855767,0.016214775630556275,0.011610794610305406,-0.00945474504378812,0.04088870550022816,-0.05034345054401628,-0.027048072855238137,0.922658317362587
2018-11-16,-28.769655,-12.73017,-0.07409931517838278,-0.04689298666671169,0.008467079030591617,0.004708283794282228,0.008875336655510511,0.060835071977865376,-0.051959735322354865,-0.02720632851167109,0.9193137425014115
2018-11-19,-28.648955833333332,-12.531720833333333,-0.07360454463610347,-0.045644542130127905,0.00249532985559282,0.011272415161681665,0.0017556869900717618,0.054344162955310825,-0.052588475965239065,-0.027960002505975565,0.9155491323020157
2018-11-20,-28.436051666666668,-12.262634166666667,-0.07520362155892299,-0.045721868790019014,-0.02895184910019425,-0.023399002391473384,-0.0006666480371195461,0.04664700728053534,-0.04731365531765489,-0.029481752768903975,0.9108874657576512
2018-11-21,-28.482818333333334,-12.199566666666668,-0.07504242180017819,-0.04537274819666364,0.003789086160505527,0.002508713864462597,0.026466521133799534,0.06737097080254893,-0.0409044496687494,-0.029669673603514544,0.9057392301894545
2018-11-22,-28.376825,-11.97805,-0.07481816729294563,-0.04471608363953355,-0.000735405171629539,-0.003746208863114145,0.04772093977806951,0.0870991516547396,-0.03937821187667009,-0.030102083653412083,0.9002861499150279
2018-11-23,-28.519960833333336,-11.837240000000001,-0.07823039110403295,-0.0451878481497166,-0.039566040032735374,-0.022320268559339572,0.10284942408349634,0.148620436890457,-0.045771012806960665,-0.03304254295431634,0.8924180579371602
2018-11-26,-28.813188333333336,-11.774469166666668,-0.07916686348196879,-0.04498015976730744,-0.0016706274689863038,-0.0007102307154421204,0.14126438529196675,0.15885840763365705,-0.017594022341690302,-0.03418670371466135,0.8826050322223118
2018-11-27,-28.99932166666667,-11.714904166666665,-0.07931164542124644,-0.04480970271556733,0.004612078648390568,-0.001274861923942222,0.1388263312928976,0.157857018552528,-0.01903068725963042,-0.03450194270567911,0.8719590326163812
2018-11-28,-29.2635575,-11.597858333333333,-0.07905763240594266,-0.04378019842257744,0.012278391624573917,0.013201633193070952,0.13568930430381848,0.15667622008830756,-0.02098691578448908,-0.03527743398336522,0.8598685949544576
2018-11-29,-29.468767500000002,-11.40234,-0.08137353381029491,-0.043608400186355784,-0.02188496893815673,-0.013070029407606876,0.1317208207463137,0.16513417034512795,-0.03341334959881426,-0.03776513362393913,0.84342057216961
2018-11-30,-29.800380833333335,-11.326830833333334,-0.08170735154099901,-0.04284123882257643,0.00709630210319291,0.01110435782943523,0.1714091941343559,0.1899728321792506,-0.018563638044894692,-0.03886611271842258,0.8241151734535019
2018-12-03,-30.110013333333335,-11.226309166666669,-0.08002353840887842,-0.04131179617523752,0.031159770694661068,0.027438816811427395,0.19053348783967103,0.1846264042095526,0.005907083630118437,-0.038711742233640906,0.8040443712873089
