tradeDate,ticker_ic,secID_ic,secShortName_ic,exchangeCD_ic,openPrice_ic,highestPrice_ic,lowestPrice_ic,closePrice_ic,indexID_ic,indexSymbol_ic,closeIndex_ic,basis_ic,ticker_if,secID_if,secShortName_if,exchangeCD_if,openPrice_if,highestPrice_if,lowestPrice_if,closePrice_if,indexID_if,indexSymbol_if,closeIndex_if,basis_if,ticker,secID,secShortName,exchangeCD,openPrice,highestPrice,lowestPrice,closePrice,indexID,indexSymbol,closeIndex,basis
2018-05-17,IC1805,IC1805.CCFX,中证1805,CCFX,6010.4,6020.4,5960.0,5975.0,2103,000905,5973.7785,1.2215,IF1805,IF1805.CCFX,沪深1805,CCFX,3902.0,3903.0,3861.2,3861.4,1782,000300,3864.0507,-2.6507,IH1806,IH1806.CCFX,上证1806,CCFX,2715.0,2715.4,2685.0,2687.2,28,000016,2700.8768,-13.6768
2018-05-18,IC1809,IC1809.CCFX,中证1809,CCFX,5809.8,5871.0,5770.0,5871.0,2103,000905,5995.1497,-124.1497,IF1809,IF1809.CCFX,沪深1809,CCFX,3786.0,3849.0,3774.2,3849.0,1782,000300,3903.0637,-54.0637,IH1806,IH1806.CCFX,上证1806,CCFX,2694.8,2736.6,2681.6,2735.2,28,000016,2740.5347,-5.3347
2018-05-21,IC1806,IC1806.CCFX,中证1806,CCFX,6015.0,6069.0,6013.6,6027.4,2103,000905,6072.1991,-44.7991,IF1806,IF1806.CCFX,沪深1806,CCFX,3933.0,3945.0,3899.2,3907.4,1782,000300,3921.2421,-13.8421,IH1806,IH1806.CCFX,上证1806,CCFX,2752.0,2762.6,2726.8,2734.2,28,000016,2745.8041,-11.6041
2018-05-22,IC1806,IC1806.CCFX,中证1806,CCFX,6028.2,6072.8,6020.2,6066.0,2103,000905,6092.9069,-26.9069,IF1806,IF1806.CCFX,沪深1806,CCFX,3908.2,3911.6,3868.6,3895.0,1782,000300,3906.2081,-11.2081,IH1806,IH1806.CCFX,上证1806,CCFX,2734.8,2737.0,2697.4,2714.6,28,000016,2728.0004,-13.4004
2018-05-23,IC1806,IC1806.CCFX,中证1806,CCFX,6060.0,6060.0,5975.2,5992.4,2103,000905,6013.8472,-21.4472,IF1806,IF1806.CCFX,沪深1806,CCFX,3885.0,3885.0,3835.0,3835.4,1782,000300,3854.5825,-19.1825,IH1806,IH1806.CCFX,上证1806,CCFX,2704.4,2707.4,2663.2,2664.6,28,000016,2683.6934,-19.0934
2018-05-24,IC1806,IC1806.CCFX,中证1806,CCFX,5995.2,6008.0,5950.2,5966.8,2103,000905,5992.6209,-25.8209,IF1806,IF1806.CCFX,沪深1806,CCFX,3841.2,3850.0,3803.0,3805.2,1782,000300,3827.217,-22.017,IH1806,IH1806.CCFX,上证1806,CCFX,2667.0,2681.0,2647.0,2649.0,28,000016,2665.6758,-16.6758
2018-05-25,IC1806,IC1806.CCFX,中证1806,CCFX,5961.2,5966.6,5863.4,5874.8,2103,000905,5917.7978,-42.9978,IF1806,IF1806.CCFX,沪深1806,CCFX,3808.0,3825.6,3783.6,3789.2,1782,000300,3816.498,-27.298,IH1806,IH1806.CCFX,上证1806,CCFX,2652.4,2671.6,2636.4,2646.8,28,000016,2661.2911,-14.4911
2018-05-28,IC1806,IC1806.CCFX,中证1806,CCFX,5883.6,5928.4,5836.4,5878.4,2103,000905,5891.2627,-12.8627,IF1806,IF1806.CCFX,沪深1806,CCFX,3795.2,3842.0,3788.4,3821.2,1782,000300,3833.2599,-12.0599,IH1806,IH1806.CCFX,上证1806,CCFX,2651.4,2679.6,2645.4,2664.0,28,000016,2673.1985,-9.1985
2018-05-29,IC1806,IC1806.CCFX,中证1806,CCFX,5871.0,5908.8,5791.0,5794.4,2103,000905,5835.4456,-41.0456,IF1806,IF1806.CCFX,沪深1806,CCFX,3810.0,3824.8,3774.0,3775.0,1782,000300,3804.0093,-29.0093,IH1806,IH1806.CCFX,上证1806,CCFX,2655.8,2666.0,2628.2,2645.4,28,000016,2663.4034,-18.0034
2018-05-30,IC1806,IC1806.CCFX,中证1806,CCFX,5743.2,5748.8,5645.0,5653.2,2103,000905,5682.5881,-29.3881,IF1806,IF1806.CCFX,沪深1806,CCFX,3731.8,3748.6,3696.4,3699.2,1782,000300,3723.3724,-24.1724,IH1806,IH1806.CCFX,上证1806,CCFX,2618.0,2626.8,2586.4,2588.4,28,000016,2605.9005,-17.5005
2018-05-31,IC1806,IC1806.CCFX,中证1806,CCFX,5698.0,5749.6,5652.0,5738.0,2103,000905,5754.4746,-16.4746,IF1806,IF1806.CCFX,沪深1806,CCFX,3723.0,3787.4,3720.8,3784.0,1782,000300,3802.3759,-18.3759,IH1806,IH1806.CCFX,上证1806,CCFX,2605.0,2647.6,2603.8,2642.0,28,000016,2658.2917,-16.2917
2018-06-01,IC1806,IC1806.CCFX,中证1806,CCFX,5717.8,5729.6,5621.2,5664.0,2103,000905,5685.1155,-21.1155,IF1806,IF1806.CCFX,沪深1806,CCFX,3775.2,3778.0,3729.6,3752.8,1782,000300,3770.5891,-17.7891,IH1806,IH1806.CCFX,上证1806,CCFX,2637.2,2646.0,2618.6,2631.6,28,000016,2647.1867,-15.5867
2018-06-04,IC1806,IC1806.CCFX,中证1806,CCFX,5682.0,5693.8,5628.8,5671.0,2103,000905,5683.1486,-12.1486,IF1806,IF1806.CCFX,沪深1806,CCFX,3772.4,3799.6,3759.4,3786.0,1782,000300,3807.5781,-21.5781,IH1806,IH1806.CCFX,上证1806,CCFX,2645.8,2681.4,2643.0,2676.2,28,000016,2694.577,-18.377
2018-06-05,IC1806,IC1806.CCFX,中证1806,CCFX,5672.4,5774.6,5672.4,5770.2,2103,000905,5779.0778,-8.8778,IF1806,IF1806.CCFX,沪深1806,CCFX,3789.0,3829.0,3782.4,3822.8,1782,000300,3845.3164,-22.5164,IH1806,IH1806.CCFX,上证1806,CCFX,2675.0,2694.6,2664.0,2685.4,28,000016,2707.0168,-21.6168
2018-06-06,IC1806,IC1806.CCFX,中证1806,CCFX,5773.2,5773.2,5725.8,5765.6,2103,000905,5774.2575,-8.6575,IF1806,IF1806.CCFX,沪深1806,CCFX,3820.4,3827.2,3810.2,3823.6,1782,000300,3837.3511,-13.7511,IH1806,IH1806.CCFX,上证1806,CCFX,2685.4,2685.8,2672.0,2677.6,28,000016,2692.1807,-14.5807
2018-06-07,IC1806,IC1806.CCFX,中证1806,CCFX,5779.8,5799.0,5707.0,5732.0,2103,000905,5738.0176,-6.0176,IF1806,IF1806.CCFX,沪深1806,CCFX,3839.8,3854.6,3810.2,3817.2,1782,000300,3831.0128,-13.8128,IH1806,IH1806.CCFX,上证1806,CCFX,2685.0,2710.8,2681.0,2685.0,28,000016,2695.2374,-10.2374
2018-06-08,IC1806,IC1806.CCFX,中证1806,CCFX,5721.8,5726.8,5608.4,5658.6,2103,000905,5669.3031,-10.7031,IF1806,IF1806.CCFX,沪深1806,CCFX,3806.0,3808.6,3743.4,3761.0,1782,000300,3779.6159,-18.6159,IH1806,IH1806.CCFX,上证1806,CCFX,2675.2,2675.2,2627.0,2636.6,28,000016,2652.0823,-15.4823
2018-06-11,IC1806,IC1806.CCFX,中证1806,CCFX,5645.0,5678.8,5588.0,5639.2,2103,000905,5632.3566,6.8434,IF1806,IF1806.CCFX,沪深1806,CCFX,3754.2,3788.8,3748.6,3773.4,1782,000300,3779.9818,-6.5818,IH1806,IH1806.CCFX,上证1806,CCFX,2633.0,2659.6,2625.8,2654.0,28,000016,2660.4084,-6.4084
2018-06-12,IC1806,IC1806.CCFX,中证1806,CCFX,5642.4,5704.8,5592.6,5686.8,2103,000905,5693.3461,-6.5461,IF1806,IF1806.CCFX,沪深1806,CCFX,3778.2,3834.6,3760.4,3818.0,1782,000300,3825.9534,-7.9534,IH1806,IH1806.CCFX,上证1806,CCFX,2654.6,2688.6,2644.0,2678.0,28,000016,2687.7018,-9.7018
2018-06-13,IC1806,IC1806.CCFX,中证1806,CCFX,5673.4,5684.8,5598.8,5603.0,2103,000905,5607.0173,-4.0173,IF1806,IF1806.CCFX,沪深1806,CCFX,3803.2,3814.8,3772.2,3778.4,1782,000300,3788.3391,-9.9391,IH1806,IH1806.CCFX,上证1806,CCFX,2672.0,2677.4,2655.0,2659.6,28,000016,2671.6265,-12.0265
2018-06-14,IC1807,IC1807.CCFX,中证1807,CCFX,5530.6,5610.4,5519.6,5543.0,2103,000905,5586.9314,-43.9314,IF1807,IF1807.CCFX,沪深1807,CCFX,3729.0,3770.2,3720.2,3734.0,1782,000300,3773.3655,-39.3655,IH1806,IH1806.CCFX,上证1806,CCFX,2652.4,2688.2,2650.6,2664.0,28,000016,2671.2975,-7.2975
