,unit,exchangeCD,currencyCD,barTime,dataDate,clearingDay,closePrice,openPrice,highPrice,lowPrice,totalVolume,totalValue,openInterest,ticker
95,1,XDCE,CNY,22:35,2021-03-31,2021-04-01,3415,3413,3415,3413,1201,41001070,1383373,M2109
96,1,XDCE,CNY,22:36,2021-03-31,2021-04-01,3415,3415,3416,3414,563,19227200,1383540,M2109
97,1,XDCE,CNY,22:37,2021-03-31,2021-04-01,3414,3416,3417,3414,1750,59777900,1383950,M2109
98,1,XDCE,CNY,22:38,2021-03-31,2021-04-01,3414,3414,3414,3412,1696,57894320,1384301,M2109
99,1,XDCE,CNY,22:39,2021-03-31,2021-04-01,3415,3414,3416,3413,1466,50058950,1384371,M2109
100,1,XDCE,CNY,22:40,2021-03-31,2021-04-01,3416,3415,3417,3414,2095,71554100,1385125,M2109
101,1,XDCE,CNY,22:41,2021-03-31,2021-04-01,3423,3416,3424,3415,8464,289482350,1385679,M2109
102,1,XDCE,CNY,22:42,2021-03-31,2021-04-01,3424,3423,3427,3422,6581,225391330,1385688,M2109
103,1,XDCE,CNY,22:43,2021-03-31,2021-04-01,3425,3424,3426,3424,3205,109764980,1386392,M2109
104,1,XDCE,CNY,22:44,2021-03-31,2021-04-01,3423,3426,3426,3422,4210,144150550,1386361,M2109
105,1,XDCE,CNY,22:45,2021-03-31,2021-04-01,3426,3423,3427,3422,3576,122458610,1387434,M2109
106,1,XDCE,CNY,22:46,2021-03-31,2021-04-01,3425,3426,3429,3425,4477,153452140,1388215,M2109
107,1,XDCE,CNY,22:47,2021-03-31,2021-04-01,3425,3425,3426,3424,1555,53251670,1388036,M2109
108,1,XDCE,CNY,22:48,2021-03-31,2021-04-01,3419,3424,3425,3419,3319,113559450,1388516,M2109
109,1,XDCE,CNY,22:49,2021-03-31,2021-04-01,3422,3419,3422,3419,3557,121672290,1389322,M2109
110,1,XDCE,CNY,22:50,2021-03-31,2021-04-01,3421,3421,3422,3419,1911,65354470,1388787,M2109
111,1,XDCE,CNY,22:51,2021-03-31,2021-04-01,3421,3420,3423,3420,3145,107603260,1389457,M2109
112,1,XDCE,CNY,22:52,2021-03-31,2021-04-01,3424,3422,3425,3421,2554,87424280,1389392,M2109
113,1,XDCE,CNY,22:53,2021-03-31,2021-04-01,3422,3425,3425,3421,1251,42820970,1389231,M2109
114,1,XDCE,CNY,22:54,2021-03-31,2021-04-01,3420,3422,3423,3420,1816,62128860,1388972,M2109
115,1,XDCE,CNY,22:55,2021-03-31,2021-04-01,3421,3421,3422,3420,2581,88301810,1388719,M2109
116,1,XDCE,CNY,22:56,2021-03-31,2021-04-01,3419,3421,3421,3417,3857,131867590,1388610,M2109
117,1,XDCE,CNY,22:57,2021-03-31,2021-04-01,3416,3419,3420,3415,6263,214041030,1387716,M2109
118,1,XDCE,CNY,22:58,2021-03-31,2021-04-01,3418,3416,3418,3416,2048,69981410,1387544,M2109
119,1,XDCE,CNY,22:59,2021-03-31,2021-04-01,3413,3417,3417,3412,4531,154708240,1386053,M2109
120,1,XDCE,CNY,23:00,2021-03-31,2021-04-01,3406,3412,3413,3406,6452,220049350,1385151,M2109
121,1,XDCE,CNY,09:01,2021-04-01,2021-04-01,3590,3590,3608,3590,116436,4166602690,1391207,M2109
122,1,XDCE,CNY,09:02,2021-04-01,2021-04-01,3575,3590,3594,3566,43498,1555986750,1394878,M2109
123,1,XDCE,CNY,09:03,2021-04-01,2021-04-01,3580,3576,3585,3573,35242,1261319580,1395419,M2109
124,1,XDCE,CNY,09:04,2021-04-01,2021-04-01,3568,3579,3580,3565,23230,829870650,1396577,M2109
125,1,XDCE,CNY,09:05,2021-04-01,2021-04-01,3570,3568,3570,3564,22886,816324440,1399307,M2109
126,1,XDCE,CNY,09:06,2021-04-01,2021-04-01,3577,3571,3581,3571,23100,826105240,1398606,M2109
127,1,XDCE,CNY,09:07,2021-04-01,2021-04-01,3572,3577,3581,3570,15376,549872280,1398786,M2109
128,1,XDCE,CNY,09:08,2021-04-01,2021-04-01,3566,3571,3571,3563,19869,708532840,1401044,M2109
129,1,XDCE,CNY,09:09,2021-04-01,2021-04-01,3560,3566,3568,3559,19572,697150830,1404130,M2109
130,1,XDCE,CNY,09:10,2021-04-01,2021-04-01,3557,3559,3560,3553,15215,541114050,1406384,M2109
131,1,XDCE,CNY,09:11,2021-04-01,2021-04-01,3564,3557,3567,3557,13259,472378470,1407346,M2109
132,1,XDCE,CNY,09:12,2021-04-01,2021-04-01,3573,3564,3573,3564,15228,543599500,1407069,M2109
133,1,XDCE,CNY,09:13,2021-04-01,2021-04-01,3567,3572,3573,3566,7854,280341400,1408102,M2109
134,1,XDCE,CNY,09:14,2021-04-01,2021-04-01,3567,3566,3570,3566,6914,246650140,1408345,M2109
135,1,XDCE,CNY,09:15,2021-04-01,2021-04-01,3566,3566,3570,3565,8283,295448340,1408207,M2109
136,1,XDCE,CNY,09:16,2021-04-01,2021-04-01,3579,3566,3580,3566,15650,559481600,1410909,M2109
137,1,XDCE,CNY,09:17,2021-04-01,2021-04-01,3582,3579,3582,3578,8813,315504910,1413844,M2109
138,1,XDCE,CNY,09:18,2021-04-01,2021-04-01,3577,3580,3584,3577,7655,274135430,1414829,M2109
139,1,XDCE,CNY,09:19,2021-04-01,2021-04-01,3578,3577,3578,3574,6334,226497330,1415376,M2109
140,1,XDCE,CNY,09:20,2021-04-01,2021-04-01,3577,3578,3580,3575,5145,184022280,1416400,M2109
141,1,XDCE,CNY,09:21,2021-04-01,2021-04-01,3578,3577,3581,3575,6287,224962160,1418121,M2109
142,1,XDCE,CNY,09:22,2021-04-01,2021-04-01,3577,3577,3580,3575,5065,181212650,1419488,M2109
143,1,XDCE,CNY,09:23,2021-04-01,2021-04-01,3576,3577,3580,3574,3769,134823290,1420270,M2109
144,1,XDCE,CNY,09:24,2021-04-01,2021-04-01,3580,3576,3580,3576,3508,125520020,1421485,M2109
145,1,XDCE,CNY,09:25,2021-04-01,2021-04-01,3577,3579,3580,3576,3669,131275050,1422111,M2109
146,1,XDCE,CNY,09:26,2021-04-01,2021-04-01,3577,3576,3579,3576,2522,90230710,1422399,M2109
147,1,XDCE,CNY,09:27,2021-04-01,2021-04-01,3579,3577,3580,3577,3702,132482980,1423322,M2109
148,1,XDCE,CNY,09:28,2021-04-01,2021-04-01,3577,3579,3579,3577,1527,54642690,1423412,M2109
149,1,XDCE,CNY,09:29,2021-04-01,2021-04-01,3579,3578,3579,3577,3137,112232170,1423610,M2109
150,1,XDCE,CNY,09:30,2021-04-01,2021-04-01,3573,3578,3579,3571,6138,219386750,1423645,M2109
151,1,XDCE,CNY,09:31,2021-04-01,2021-04-01,3574,3573,3575,3571,7212,257696390,1425316,M2109
152,1,XDCE,CNY,09:32,2021-04-01,2021-04-01,3576,3573,3576,3573,4447,158980760,1426439,M2109
153,1,XDCE,CNY,09:33,2021-04-01,2021-04-01,3572,3576,3577,3572,3752,134131090,1427053,M2109
154,1,XDCE,CNY,09:34,2021-04-01,2021-04-01,3572,3572,3574,3570,4834,172676820,1427327,M2109
155,1,XDCE,CNY,09:35,2021-04-01,2021-04-01,3572,3572,3573,3570,5860,209305340,1428125,M2109
156,1,XDCE,CNY,09:36,2021-04-01,2021-04-01,3568,3572,3572,3566,7432,265257590,1427617,M2109
157,1,XDCE,CNY,09:37,2021-04-01,2021-04-01,3569,3568,3570,3567,8000,285526420,1426076,M2109
158,1,XDCE,CNY,09:38,2021-04-01,2021-04-01,3567,3569,3571,3566,5253,187484710,1426626,M2109
159,1,XDCE,CNY,09:39,2021-04-01,2021-04-01,3565,3567,3568,3565,5833,208058510,1427335,M2109
160,1,XDCE,CNY,09:40,2021-04-01,2021-04-01,3565,3565,3568,3564,5551,197920400,1428592,M2109
161,1,XDCE,CNY,09:41,2021-04-01,2021-04-01,3564,3565,3566,3563,5332,190071960,1428276,M2109
162,1,XDCE,CNY,09:42,2021-04-01,2021-04-01,3563,3564,3564,3561,5411,192771340,1427746,M2109
163,1,XDCE,CNY,09:43,2021-04-01,2021-04-01,3566,3564,3566,3563,3841,136898080,1427551,M2109
164,1,XDCE,CNY,09:44,2021-04-01,2021-04-01,3567,3566,3568,3565,3957,141135550,1427529,M2109
165,1,XDCE,CNY,09:45,2021-04-01,2021-04-01,3567,3566,3568,3565,2965,105753380,1427710,M2109
166,1,XDCE,CNY,09:46,2021-04-01,2021-04-01,3566,3567,3568,3565,2927,104394650,1428253,M2109
167,1,XDCE,CNY,09:47,2021-04-01,2021-04-01,3565,3567,3567,3564,2213,78903920,1427782,M2109
168,1,XDCE,CNY,09:48,2021-04-01,2021-04-01,3564,3565,3566,3562,2956,105338630,1426975,M2109
169,1,XDCE,CNY,09:49,2021-04-01,2021-04-01,3565,3564,3566,3563,2783,99175300,1426931,M2109
170,1,XDCE,CNY,09:50,2021-04-01,2021-04-01,3566,3565,3566,3563,2978,106151200,1426643,M2109
171,1,XDCE,CNY,09:51,2021-04-01,2021-04-01,3570,3566,3571,3566,6477,231165660,1428186,M2109
172,1,XDCE,CNY,09:52,2021-04-01,2021-04-01,3568,3571,3575,3567,9084,324486440,1431373,M2109
173,1,XDCE,CNY,09:53,2021-04-01,2021-04-01,3566,3568,3570,3566,3745,133624000,1432906,M2109
174,1,XDCE,CNY,09:54,2021-04-01,2021-04-01,3566,3566,3567,3564,2140,76305940,1432780,M2109
175,1,XDCE,CNY,09:55,2021-04-01,2021-04-01,3562,3566,3566,3562,3916,139531210,1432806,M2109
176,1,XDCE,CNY,09:56,2021-04-01,2021-04-01,3563,3563,3565,3562,2895,103163460,1432475,M2109
177,1,XDCE,CNY,09:57,2021-04-01,2021-04-01,3563,3562,3564,3561,5246,186867920,1432942,M2109
178,1,XDCE,CNY,09:58,2021-04-01,2021-04-01,3557,3563,3563,3557,5907,210272710,1433166,M2109
179,1,XDCE,CNY,09:59,2021-04-01,2021-04-01,3563,3557,3564,3557,3991,142161630,1433008,M2109
180,1,XDCE,CNY,10:00,2021-04-01,2021-04-01,3565,3563,3565,3563,2224,79272810,1432943,M2109
181,1,XDCE,CNY,10:01,2021-04-01,2021-04-01,3568,3566,3572,3566,10202,364152360,1435731,M2109
182,1,XDCE,CNY,10:02,2021-04-01,2021-04-01,3565,3568,3569,3564,3293,117434000,1435751,M2109
183,1,XDCE,CNY,10:03,2021-04-01,2021-04-01,3564,3566,3567,3563,3321,118384020,1435745,M2109
184,1,XDCE,CNY,10:04,2021-04-01,2021-04-01,3565,3565,3565,3563,1698,60520380,1435986,M2109
185,1,XDCE,CNY,10:05,2021-04-01,2021-04-01,3558,3565,3565,3558,5687,202505150,1436081,M2109
186,1,XDCE,CNY,10:06,2021-04-01,2021-04-01,3556,3559,3561,3555,7714,274483180,1438537,M2109
187,1,XDCE,CNY,10:07,2021-04-01,2021-04-01,3558,3555,3562,3555,6818,242654340,1439640,M2109
188,1,XDCE,CNY,10:08,2021-04-01,2021-04-01,3557,3559,3560,3556,2989,106348910,1440332,M2109
189,1,XDCE,CNY,10:09,2021-04-01,2021-04-01,3555,3558,3558,3554,4165,148104690,1440944,M2109
190,1,XDCE,CNY,10:10,2021-04-01,2021-04-01,3554,3556,3557,3554,3266,116108590,1441829,M2109
191,1,XDCE,CNY,10:11,2021-04-01,2021-04-01,3557,3555,3558,3555,4638,164948100,1441993,M2109
192,1,XDCE,CNY,10:12,2021-04-01,2021-04-01,3553,3557,3558,3552,5849,207892280,1442644,M2109
193,1,XDCE,CNY,10:13,2021-04-01,2021-04-01,3556,3553,3556,3552,4780,169876940,1442587,M2109
194,1,XDCE,CNY,10:14,2021-04-01,2021-04-01,3555,3556,3556,3553,3220,114455550,1443010,M2109
195,1,XDCE,CNY,10:15,2021-04-01,2021-04-01,3554,3556,3556,3551,4614,163933080,1442353,M2109
196,1,XDCE,CNY,10:31,2021-04-01,2021-04-01,3550,3553,3555,3550,7946,282211780,1442559,M2109
197,1,XDCE,CNY,10:32,2021-04-01,2021-04-01,3552,3551,3553,3549,5547,196944640,1443150,M2109
198,1,XDCE,CNY,10:33,2021-04-01,2021-04-01,3552,3552,3555,3551,6553,232794210,1442908,M2109
199,1,XDCE,CNY,10:34,2021-04-01,2021-04-01,3555,3552,3555,3551,3742,132936200,1442301,M2109
200,1,XDCE,CNY,10:35,2021-04-01,2021-04-01,3554,3555,3556,3553,2951,104911110,1442366,M2109
201,1,XDCE,CNY,10:36,2021-04-01,2021-04-01,3554,3554,3556,3553,4099,145704560,1441153,M2109
202,1,XDCE,CNY,10:37,2021-04-01,2021-04-01,3547,3554,3554,3547,6570,233228140,1441585,M2109
203,1,XDCE,CNY,10:38,2021-04-01,2021-04-01,3545,3548,3548,3544,11227,398127630,1440679,M2109
204,1,XDCE,CNY,10:39,2021-04-01,2021-04-01,3541,3545,3546,3541,6882,243826050,1440430,M2109
205,1,XDCE,CNY,10:40,2021-04-01,2021-04-01,3544,3542,3545,3540,5859,207601770,1440510,M2109
206,1,XDCE,CNY,10:41,2021-04-01,2021-04-01,3541,3544,3545,3541,6780,240236530,1439614,M2109
207,1,XDCE,CNY,10:42,2021-04-01,2021-04-01,3539,3540,3542,3538,6925,245123360,1440238,M2109
208,1,XDCE,CNY,10:43,2021-04-01,2021-04-01,3539,3539,3542,3538,4837,171245630,1439486,M2109
209,1,XDCE,CNY,10:44,2021-04-01,2021-04-01,3541,3539,3542,3538,5693,201523260,1439232,M2109
210,1,XDCE,CNY,10:45,2021-04-01,2021-04-01,3544,3542,3544,3540,3405,120622060,1438810,M2109
211,1,XDCE,CNY,10:46,2021-04-01,2021-04-01,3545,3544,3546,3541,6675,236492500,1439772,M2109
212,1,XDCE,CNY,10:47,2021-04-01,2021-04-01,3541,3544,3545,3541,2953,104624830,1439708,M2109
213,1,XDCE,CNY,10:48,2021-04-01,2021-04-01,3541,3541,3542,3539,2501,88548970,1439882,M2109
214,1,XDCE,CNY,10:49,2021-04-01,2021-04-01,3541,3541,3543,3540,2633,93254660,1440002,M2109
215,1,XDCE,CNY,10:50,2021-04-01,2021-04-01,3541,3541,3542,3540,1711,60584030,1439895,M2109
216,1,XDCE,CNY,10:51,2021-04-01,2021-04-01,3540,3541,3541,3536,5018,177564160,1439119,M2109
217,1,XDCE,CNY,10:52,2021-04-01,2021-04-01,3537,3540,3540,3537,3260,115347770,1439139,M2109
218,1,XDCE,CNY,10:53,2021-04-01,2021-04-01,3537,3537,3539,3536,2841,100505930,1439335,M2109
219,1,XDCE,CNY,10:54,2021-04-01,2021-04-01,3534,3536,3538,3534,4398,155496960,1440234,M2109
220,1,XDCE,CNY,10:55,2021-04-01,2021-04-01,3540,3535,3540,3535,4438,157000470,1440585,M2109
221,1,XDCE,CNY,10:56,2021-04-01,2021-04-01,3538,3539,3540,3536,4448,157353270,1441381,M2109
222,1,XDCE,CNY,10:57,2021-04-01,2021-04-01,3535,3538,3538,3534,2810,99366720,1441811,M2109
223,1,XDCE,CNY,10:58,2021-04-01,2021-04-01,3537,3535,3537,3534,3736,132095210,1442314,M2109
224,1,XDCE,CNY,10:59,2021-04-01,2021-04-01,3540,3537,3542,3536,6172,218420600,1441573,M2109
225,1,XDCE,CNY,11:00,2021-04-01,2021-04-01,3542,3540,3542,3539,3518,124565540,1441038,M2109
226,1,XDCE,CNY,11:01,2021-04-01,2021-04-01,3537,3543,3543,3537,4456,157771080,1441503,M2109
227,1,XDCE,CNY,11:02,2021-04-01,2021-04-01,3536,3537,3538,3536,3104,109804770,1441854,M2109
228,1,XDCE,CNY,11:03,2021-04-01,2021-04-01,3537,3536,3538,3535,3341,118163390,1442766,M2109
229,1,XDCE,CNY,11:04,2021-04-01,2021-04-01,3537,3537,3537,3535,2599,91905600,1442568,M2109
230,1,XDCE,CNY,11:05,2021-04-01,2021-04-01,3536,3536,3537,3536,1476,52199050,1443153,M2109
231,1,XDCE,CNY,11:06,2021-04-01,2021-04-01,3535,3537,3537,3535,2257,79817270,1443787,M2109
232,1,XDCE,CNY,11:07,2021-04-01,2021-04-01,3536,3535,3536,3534,7078,250212460,1444611,M2109
233,1,XDCE,CNY,11:08,2021-04-01,2021-04-01,3534,3536,3536,3534,1754,62003530,1444798,M2109
234,1,XDCE,CNY,11:09,2021-04-01,2021-04-01,3535,3535,3536,3534,2788,98540780,1446019,M2109
